Model,MAE,pno2,qno2,rno2,sno2,tno2
LinearRegression,6.540100093842803,-0.011939613603790955,1.4628287116912202,0.8547403797417443,-2.424691190902083,43.45555021469934
Ridge,6.540094596590895,-0.011934398809844819,1.4626379312531004,0.8547330014974491,-2.424489621352053,43.45319088674975
Lasso,6.535171653642888,-0.0050491761720193856,1.2619146612330083,0.8457346125435992,-2.212820620868529,41.00482720777447
ElasticNet,6.535746124163947,-0.0040001142052245395,1.1980495846211303,0.8436983351123781,-2.144941221261244,40.193723718362065
HuberRegressor,6.125925399081871,0.04158398123154181,1.0057553011393139,0.5750899564630473,-1.668528860087308,24.46156301524525
SVR,6.102183506602196,0.05886186613497557,0.9549381186297978,0.5148141271201894,-1.560891352710314,20.70653887298212
