Model,MAE,po3,qo3,ro3,so3,to3
LinearRegression,5.625937735514916,1.5642691198886554,-0.9241066226744958,-1.755949563229029,1.115002621657946,10.938613946330122
Ridge,5.62593808936432,1.564265183693365,-0.9240032228180751,-1.7559438784985621,1.1148929157445198,10.939883285200978
Lasso,5.628333514926466,1.557891303580923,-0.7374783943767275,-1.7476101042719203,0.91817706449192,13.219326980691932
ElasticNet,5.627963813672423,1.557846012317776,-0.7510963962040623,-1.74694535574597,0.9317776039351802,13.060969292954837
HuberRegressor,5.610302867877278,1.5362614907791141,-0.9685634948949153,-1.738668760041899,1.1652789245923143,11.73908309093179
SVR,5.607820267945813,1.51774303172715,-0.967001692217309,-1.73885870561935,1.1825825314735994,11.718760357524824
